scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,finalCanER,ERStartYear,EREndYear,usER,cvERSMU,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,prodTrendLength,prodStartYear,prodEndYear,prodRegimeLen,ampSinProd,sinCycleLen,capRegime,capPpnChange,capTrendLength,capStartYear,capEndYear,capRegimeLen,sigRegime,sigShiftYear,rho,arSigTransform,biasCor,correlCU,corrMat,sampCU_coef1,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,agePpnConst
stationary,stationary,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.3,0.3,1,50,0,0.456,1,FALSE,FALSE,med,1,50,NA,NA,NA,NA,NA,stable,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
autocorr,autocorr,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.3,0.3,1,50,0,0.456,1,FALSE,FALSE,med,1,50,NA,NA,NA,NA,NA,stable,1,50,NA,NA,NA,stable,NA,0.3,TRUE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
decLinearProd,decLinearProd,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.3,0.3,1,50,0,0.456,1,FALSE,FALSE,linear,0.5,50,11,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeProd,regimeProd,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.3,0.3,1,50,0,0.456,1,FALSE,FALSE,regime,2,50,NA,NA,15,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
sineProd,sineProd,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.3,0.3,1,50,0,0.456,1,FALSE,FALSE,sine,1.5,50,NA,NA,NA,0.25,25,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeCap,regimeCap,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.3,0.3,1,50,0,0.456,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,regime,2.5,50,NA,NA,15,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
decLinearCap,decLinearCap,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.3,0.3,1,50,0,0.456,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,0.5,50,11,45,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
sigmaShift,sigmaShift,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.3,0.3,1,50,0,0.456,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,shift,25,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1.5,1,1,TRUE
regimeProdCap,regimeProdCap,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.3,0.3,1,50,0,0.456,1,FALSE,FALSE,regime,1.5,50,NA,NA,25,NA,NA,regime,1.5,50,NA,NA,14,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
shiftCap,shiftCap,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.3,0.3,1,50,0,0.456,1,FALSE,FALSE,linear,1,50,NA,NA,25,NA,NA,regime,0.5,50,11,50,25,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
decLinearProdshiftCap,decLinearProdshiftCap,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.3,0.3,1,50,0,0.456,1,FALSE,FALSE,linear,0.5,50,11,45,NA,NA,NA,regime,1.5,50,11,50,25,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
